"AEBODSYS","AEHLGT","AEHLT","AEDECOD","A","C","B","D","APLUSB","CPLUSD","N","PCTTREAT","PCTCONTROL","RD","RR","PVALUE"
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS DUE TO CHRONIC DISORDERS","ANAEMIA OF CHRONIC DISEASE",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS DUE TO CHRONIC DISORDERS","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC","ANAEMIA",4,12,542,534,546,546,1092,0.7,2.2,-1.5,33.3,3.6
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC","",4,12,542,534,546,546,1092,0.7,2.2,-1.5,33.3,3.6
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","","",4,14,542,532,546,546,1092,0.7,2.6,-1.8,28.6,4.5
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)","COAGULOPATHIES","COAGULOPATHY",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)","COAGULOPATHIES","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","WHITE BLOOD CELL DISORDERS","LEUKOCYTOSES NEC","LEUKOCYTOSIS",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","WHITE BLOOD CELL DISORDERS","LEUKOCYTOSES NEC","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","WHITE BLOOD CELL DISORDERS","","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","","","",6,16,540,530,546,546,1092,1.1,2.9,-1.8,37.5,4.1
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR BLOCK COMPLETE",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR BLOCK FIRST DEGREE",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","BRADYCARDIA",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","TACHYCARDIA",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","",2,4,544,542,546,546,1092,0.4,0.7,-0.4,50,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","ATRIAL FIBRILLATION",8,6,538,540,546,546,1092,1.5,1.1,0.4,133.3,1.7
