"AEBODSYS","AEHLGT","AEHLT","AEDECOD","A","C","B","D","APLUSB","CPLUSD","N","PCTTREAT","PCTCONTROL","RD","RR","PVALUE"
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIA DEFICIENCIES","ANAEMIA VITAMIN B12 DEFICIENCY",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIA DEFICIENCIES","IRON DEFICIENCY ANAEMIA",3,4,2599,2620,2602,2624,5226,0.1,0.2,0,0.8,1.3
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIA DEFICIENCIES","PERNICIOUS ANAEMIA",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIA DEFICIENCIES","",5,4,2597,2620,2602,2624,5226,0.2,0.2,0,1.3,1.4
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS DUE TO CHRONIC DISORDERS","ANAEMIA OF CHRONIC DISEASE",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS DUE TO CHRONIC DISORDERS","ANAEMIA OF MALIGNANT DISEASE",2,1,2600,2623,2602,2624,5226,0.1,0,0,2,1
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS DUE TO CHRONIC DISORDERS","NEPHROGENIC ANAEMIA",3,1,2599,2623,2602,2624,5226,0.1,0,0.1,3,1.4
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS DUE TO CHRONIC DISORDERS","",6,2,2596,2622,2602,2624,5226,0.2,0.1,0.2,3,2.2
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC","ANAEMIA",10,5,2592,2619,2602,2624,5226,0.4,0.2,0.2,2,2.4
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC","HYPOCHROMIC ANAEMIA",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC","MICROCYTIC ANAEMIA",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC","NORMOCHROMIC NORMOCYTIC ANAEMIA",1,1,2601,2623,2602,2624,5226,0,0,0,1,0.7
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC","",12,7,2590,2617,2602,2624,5226,0.5,0.3,0.2,1.7,2.4
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","MARROW DEPRESSION AND HYPOPLASTIC ANAEMIAS","APLASTIC ANAEMIA",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","MARROW DEPRESSION AND HYPOPLASTIC ANAEMIAS","",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","","",23,14,2579,2610,2602,2624,5226,0.9,0.5,0.4,1.7,3.2
"Blood and lymphatic system disorders","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)","BLEEDING TENDENCIES","HAEMORRHAGIC DISORDER",0,2,2602,2622,2602,2624,5226,0,0.1,-0.1,0,1.4
"Blood and lymphatic system disorders","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)","BLEEDING TENDENCIES","",0,2,2602,2622,2602,2624,5226,0,0.1,-0.1,0,1.4
"Blood and lymphatic system disorders","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)","","",0,2,2602,2622,2602,2624,5226,0,0.1,-0.1,0,1.4
"Blood and lymphatic system disorders","HAEMOLYSES AND RELATED CONDITIONS","ANAEMIAS HAEMOLYTIC NEC","HAEMOLYTIC ANAEMIA",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","HAEMOLYSES AND RELATED CONDITIONS","ANAEMIAS HAEMOLYTIC NEC","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
