Entity,Date,Calls,Distributions,Other Outflow,Other Inflow,Transaction Type,Notes
1001,09/06/2006,"(510,000.00)",,,,,
1001,06/22/2007,"(240,000.00)",,,,,
1001,10/03/2007,"(240,000.00)",,,,,
1001,02/29/2008,"(210,000.00)",,,,,
1001,04/24/2008,"(150,000.00)",,,,,
1001,07/01/2008,"(150,000.00)",,,,,
1001,08/06/2008,,"648,693.00 ",,,,
1001,09/25/2008,"(300,000.00)",,,,,
1001,01/05/2009,"(210,000.00)",,,,,
1001,08/11/2009,,"28,459.00 ",,,,
1001,12/04/2009,"(390,000.00)",,,,,
1001,05/06/2010,"(210,000.00)",,,,,
1001,11/09/2010,"(78,629.00)",,,,,
1001,04/26/2011,,"1,075,138.00 ",,,,
1001,01/05/2012,"(71,400.00)",,,,,
1001,02/22/2012,"(75,000.00)",,,,,
1001,08/22/2012,,"267,340.00 ",,,,
1001,06/17/2013,"(164,971.00)",,,,,
1001,10/03/2014,,"4,061,454.00 ",,,,
1001,10/21/2015,,"314,518.00 ",,,,
1001,11/24/2015,,"1,780,171.00 ",,,,
1001,01/11/2016,,"566,132.00 ",,,,
1001,11/22/2016,,"94,355.00 ",,,,
1001,02/17/2017,,"106,936.00 ",,,,
1001,04/19/2017,,"144,822.00 ",,,,
1002,09/16/2010,"(750,000.00)",,,,,
1002,11/12/2010,"(425,000.00)",,,,,
1002,03/04/2011,"(200,000.00)",,,,,
1002,05/09/2011,"(300,000.00)",,,,,
1002,06/22/2011,"(375,000.00)",,,,,
1002,12/06/2011,"(375,000.00)",,,,,
1002,02/16/2012,"(200,000.00)",,,,,
1002,04/17/2012,"(425,000.00)",,,,,
1002,05/29/2012,"(350,000.00)",,,,,
1002,10/16/2012,"(350,000.00)",,,,,
1002,01/15/2013,"(250,000.00)",,,,,
1002,05/29/2013,"(150,000.00)",,,,,
1002,08/22/2013,"(200,000.00)",,,,,
1002,11/01/2013,"(150,000.00)",,,,,
1002,11/07/2014,"(200,000.00)",,,,,
1002,07/15/2016,"(150,000.00)",,,,,
1002,05/12/2017,"(150,000.00)",,,,,
1003,09/23/2013,"(500,000.00)",,,,,
1003,02/12/2014,"(300,000.00)",,,,,
1003,11/10/2014,"(250,000.00)",,,,,
1003,07/01/2015,"(300,000.00)",,,,,
1003,10/13/2015,"(350,000.00)",,,,,
1003,01/19/2016,"(450,000.00)",,,,,
1003,07/05/2016,"(450,000.00)",,,,,
1003,08/31/2016,"(350,000.00)",,,,,
1003,11/08/2016,"(150,000.00)",,,,,
1003,03/15/2017,"(350,000.00)",,,,,
1003,06/06/2017,"(250,000.00)",,,,,
1003,08/03/2017,"(150,000.00)",,,,,
1003,11/27/2017,"(550,000.00)",,,,,
1003,08/15/2018,"(200,000.00)",,,,,
1003,12/12/2018,,"388,928.00 ",,,,
1004,03/13/2018,"(321,875.00)",,,,,
1004,03/29/2018,"(103,000.00)",,,,,
1004,07/09/2018,"(103,000.00)",,,,,
1004,10/11/2018,"(193,124.00)",,,,,
1004,05/20/2019,"(257,508.00)",,,,,
