ID,Name,09/30/2001,12/31/2001,03/31/2002,06/30/2002,09/30/2002,12/31/2002,03/31/2003,06/30/2003,09/30/2003,12/31/2003,03/31/2004,06/30/2004,09/30/2004,12/31/2004,03/31/2005,06/30/2005,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/30/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024,12/31/2024,03/31/2025,06/30/2025,09/30/2025,12/31/2025,03/31/2026,06/30/2026,09/30/2026,12/31/2026,03/31/2027,06/30/2027,09/30/2027,12/31/2027
1001,Alsop Louie 1,,,,,,,,,,,,,,,,,,,,,"497,390","471,029","561,394","606,576","639,758","928,267","1,020,437","1,576,741","1,206,199","1,669,622","1,901,333","2,017,188","2,046,657","2,133,044","2,186,762","2,213,621","2,240,480","2,800,600","3,500,750","2,572,570","2,108,479","1,644,389","1,830,010","1,971,263","1,938,999","1,810,609","1,779,809","1,963,724","1,841,824","1,525,219","3,462,959","4,788,375","6,298,888","2,193,468","2,139,093","2,141,206","2,964,981","1,249,978","673,155","796,537","817,526","707,299","614,317","467,694","496,743","503,602","495,593","440,361","119,385","48,456","46,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Alsop Louie 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"626,472","1,016,273","1,182,007","1,823,409","1,790,748","2,449,119","2,607,443","3,201,559","3,091,687","3,357,531","3,483,146","3,574,523","3,586,008","3,050,450","3,279,493","3,739,263","4,186,106","4,610,832","4,448,716","4,425,826","4,468,835","4,773,055","4,679,484","4,660,155","4,176,254","4,154,247","3,998,086","4,153,586","4,211,061","3,954,804","3,987,598","3,965,181","3,945,174","3,457,996","3,406,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Alsop Louie 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"459,374","699,954","1,400,718","1,313,008","1,431,295","1,140,299","1,113,372","1,388,001","1,667,536","2,124,508","1,834,170","3,961,666","4,693,946","5,116,176","5,265,587","5,816,234","6,240,925","6,216,620","5,967,444","6,000,086","6,720,094","6,680,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Alsop Louie 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"395,471","430,254","519,081","696,139","770,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Amplify II (Accelerator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"729,849","697,064","784,668","783,190","1,042,667","1,008,628","1,012,352","1,179,943","1,172,142","1,142,031","1,146,700","1,460,779","1,482,285","1,478,648","1,479,394","1,518,284","1,487,608","1,294,882","1,519,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Amplify III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"481,098","449,357","429,072","460,342","404,626","913,560","918,645","910,022","1,118,266","1,166,194","1,275,328","1,476,286","1,453,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Amplify IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"330,000","306,682","280,652","419,891","880,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Amplify Opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230,425","221,913","561,016","554,636","544,600","551,724","764,756","771,937","1,062,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Bain IX,,,,,,,,,,,,,,,,,,,,,,,,,,"3,932,721","4,563,439","4,198,124","3,644,670","2,394,437","2,500,765","2,394,232","2,632,760","3,128,446","3,524,318","3,506,012","3,810,467","4,291,711","4,587,847","4,776,339","3,912,419","4,119,887","4,811,597","4,114,707","4,986,571","4,908,093","4,029,623","3,791,256","3,724,059","3,247,209","2,900,537","2,436,992","2,391,150","2,217,996","2,035,724","1,830,328","1,335,999","1,124,838","1,352,285","1,346,922","932,989","705,695","731,107","649,919","653,585","666,589","598,838","542,668","513,841","541,618","479,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Bain X,,,,,,,,,,,,,,,,,,,,,,,,,,,"249,185","574,919","1,180,254","1,067,553","1,046,024","994,215","1,107,362","1,138,806","1,170,179","1,441,282","1,529,598","2,102,139","2,071,784","2,533,916","2,835,848","3,064,442","3,285,919","3,221,872","3,539,214","4,157,625","4,590,584","4,445,440","4,694,605","4,787,389","4,790,392","4,499,224","4,467,110","3,823,165","3,907,195","3,272,794","3,214,286","2,956,674","2,943,681","2,602,796","2,533,926","2,054,894","2,006,236","1,615,883","1,669,098","1,610,578","1,499,044","1,709,679","1,808,937","1,213,059","1,297,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
