ID,Name,Exchange,Ticker,Curr Cost,Curr FV,Last Cost,Last FV,Invest Date,Industry,Description
1001A001,Net Power Light (Wickr),,,"12,744,079","16,386,552","11,891,630","14,898,428",,,
1001P001,Cake Financial Corp,,,"4,150,000","153,051","4,150,000","153,051",,Media,Social Investment Advice
1001P002,Cleversafe,,,"6,027,873","63,510,049","6,027,873","63,510,049",,Information Technology,Dispersed Data
1001P003,Crowdcast,,,"4,000,000","600,000","4,000,000","600,000",,Software,Enterprise Forecasting
1001P004,Datahooks,,,"250,000",,"250,000",,,Information Technology,Data Analysis Apps
1001P005,Funtini,,,"7,813,705",,"7,813,705",,,Media,Ipad Games
1001P006,Glam Media,,,"4,275,565",,"4,275,565",,,Media,Vertical Media
1001P007,Gowalla,,,"2,837,765","1,743,757","2,837,766","1,249,366",,Software,Location Based Service
1001P008,Hidden City Games,,,"391,569",,"391,569",,,Media,Collectible Games
1001P009,Moonshoot,,,"7,796,018",,"7,796,018",,,Software,Language Learning
1001P010,Ness Computing,,,"5,612,073","3,003,273","5,612,073","3,003,273",,Information Technology,Recommendation Engine
1001P011,Netwitness,,,"5,075,798","37,999,660","5,075,798","37,999,660",,Information Technology,Network Security
1001P012,Ribbit,,,"4,498,822","24,914,037","4,498,822","24,914,037",,Software,Voice Services Platform
1001P013,Socialcam,,,"595,242","15,847,957","595,242","15,847,957",,Media,Mobile Social Video
1001P014,TopSchool,,,"6,092,421",4,"6,092,421",4,,Software,SaaS Services for Schools
1001P015,Twitch Interactive,,,"8,674,516","166,188,020","8,674,516","166,188,020",,Media,Live Internet Broadcasting
1001P016,Redux,,,"4,683,157","149,822","4,683,157","149,822",,Media,Online Media Discovery
1001P017,Zephyr,,,"6,985,793","8,886,149","6,985,793","8,886,370",,Software,Defense Technology
1002A001,Aerospike (CitrusLeaf),,,"7,817,808","12,556,234","7,817,808","12,556,234",01/11/2011,Information Technology,Database
1002A002,iControl,,,"5,881,747","6,874,099","5,881,747","6,944,099",05/11/2011,Information Technology,Mobile asset security
1002A003,Jetlore,,,"2,779,146","3,947,322","2,734,105","4,805,494",07/11/2011,Media,Social search
1002A004,Lookingglass Cyber Sol.,,,"9,656,503","20,246,262","9,656,503","16,581,709",01/12/2012,Information Technology,Security information delivery
1002A005,Motive Medical (newMentor),,,"3,623,868","922,522","3,614,535","1,213,643",05/10/2010,Information Technology,Health/IT informational services
1002A006,Phizzle,,,"4,379,419","2,201,400","4,369,419","4,836,707",07/11/2011,Media,On premise fan engagement
1002A007,WaveConnex (Keyssa),,,"13,320,752","28,591,570","13,320,752","28,609,428",07/11/2011,Technology Hardware,Wireless electronic connectors
1002P001,Copilot Labs,,,"1,246,982","2,490,104","1,246,982","2,490,104",06/11/2018,Software,Retail Analytics
1002P002,Centripetal Networks,,,"5,500,000","1,500,000","5,500,000","3,281,876",09/11/2011,Software,Line-speed deep packet inspection
1002P003,Elastic Intelligence,,,"4,202,214","3,411,318","4,202,214","3,411,318",10/10/2018,Business Services,Business Intelligence Services
1002P004,Framehawk,,,"7,235,778","7,332,569","7,235,778","7,332,569",,Software,Web Presence software
1002P005,FunSockets (Veritcal Up-Kicker),,,"3,738,875",,"3,738,875",,02/11/2018,Media,HTML 5 game platform
1002P006,Global Education Learning,,,"5,169,811","5,329,549","5,169,811","5,329,549",03/12/2018,Media,Early education products
1002P007,Gridspeak,,,"5,968,086",0,"5,968,086","75,000",04/10/2010,Information Technology,Analytical trading
1002P008,Handybook (Exec),,,"50,323","50,323","50,323","50,323",03/12/2018,Consumer,Personal services dispatcher
1002P009,Kidlandia,,,"2,693,796",,"2,693,796",,,Media,Personalized children's media
1002P010,Next Big Sound,,,"300,000","2,242,058","300,000","2,242,058",02/10/2018,Software,Music industry analytics
1002P011,Resilient Network Systems,,,"7,050,349",0,"7,050,349",0,10/10/2010,Information Technology,Trust services
1002P012,Ruckus Media Group,,,"5,837,481",,"5,837,481",,,Media,Digital educational books
1002P013,Toopher,,,"1,105,000","2,634,907","1,105,000","2,634,907",11/12/2018,Security,Online Fraud ID Protection
1002P014,Viggle (Draft Day Fantasy Sports),,,"3,999,883",70,"3,999,883",770,04/10/2010,Media,Digital Media
1002P015,WifiSLAM,,,"53,610","113,459","53,610","113,459",,Software,Indoor location services
1003A001,Cipher Online Media,,,"2,375,000",0,"1,800,000","4,227,097",03/15/2015,,Specialized Media Company
1003A002,DeviceAuthority,,,"4,512,924","2,098,870","3,787,501","3,626,442",12/13/2013,,Automated device authentication
1003A003,Digilens,,,"9,125,176","23,053,733","9,125,176","10,607,889",05/15/2015,,
1003A004,GameClosure (Weeby),,,"3,009,453","3,009,453","3,009,453","3,009,453",06/01/2016,,
1003A005,GfyCat,,,"4,000,000","4,000,000","4,000,000","4,000,000",06/15/2015,,
1003A006,Hover,,,"8,815,086","16,067,518","8,681,072","14,636,172",07/01/2015,,
1003A007,Karmic Labs,,,"7,000,000","7,000,000","5,000,000","5,000,000",09/01/2016,,
1003A008,Loanhero,,,"4,150,000","4,150,000","4,150,000","4,150,000",12/15/2015,,
1003A009,Mixed Dimensions,,,"3,140,686","2,491,474","1,850,860","3,751,080",01/15/2015,,
1003A010,New Matter Inc.,,,"9,607,520",0,"8,257,520","3,124,057",05/14/2014,,3D printer manufacturer
1003A011,Niantic,,,"10,016,395","78,071,845","3,000,000","57,142,800",01/16/2016,,
1003A012,Pavlov,,,"100,000","100,000","100,000","100,000",03/16/2016,,
1003A013,Phase Four,,,"5,936,488","6,916,656","5,936,488","6,916,656",12/15/2015,,
1003A014,Red Balloon Security,,,"1,138,740","1,423,406","1,000,000","1,000,000",11/01/2015,,
1003A015,RemedyHealth,,,"250,000","250,000","250,000","250,000",06/01/2016,,
1003A016,Sapho,,,"7,374,832","12,180,777","7,374,832","12,180,777",04/15/2015,,
1003A017,Ubixi,,,"3,000,000","3,000,000","3,000,000","3,000,000",11/16/2016,,
1003A018,Wickr,,,"8,558,958","17,803,125","6,212,560","13,753,429",11/13/2013,,Secure communications platform
1003P001,Avni Networks,,,"1,545,000","120,926","1,545,000",0,11/14/2014,,Enterprise network services
1003P002,Cayuga Networks,,,"1,300,000",,"1,300,000",,,,Application Security Technology
1003P003,Junyo,,,"500,000",,"500,000",,06/15/2018,,
1003P004,Kiswe Mobile,,,"700,002","1,600,002","700,002","1,600,002",08/14/2018,,Mobile sports
1003P005,Matter.io,,,"500,001","198,933","500,001","198,933",09/15/2018,,3D Printing
1003P006,New Gadget,,,"950,000",,"950,000",,03/14/2018,,Stealth concept
1003P007,Trnio,,,"255,000",,"255,000",,03/15/2018,,3D Scanning
1004A001,"Ascent Technologies, Inc.",,,"3,999,995","3,999,995","3,999,995",0,03/01/2018,Services,
1004A002,"Crunchy Data Solutions, Inc.",,,"4,000,000","4,000,000","4,000,000",0,03/01/2018,Services,
1004A003,"Drop Kitchen, Inc.",,,"3,000,000","3,000,000","3,000,000",0,12/01/2017,Software,
1004A004,"Ursa Major Technologies, Inc.",,,"5,000,000","5,000,000","5,000,000",0,11/01/2017,Software,
1004A005,"RunSafe Security, Inc.",,,"1,717,794","1,717,794","1,717,794",0,03/01/2018,Software,
1004A006,Theorix Corporation,,,"500,000","500,000","500,000",0,02/01/2018,"Tech, Media & Telecom",
1005A001,Affinity Networks,,,"255,277","555,833","255,277","555,833",01/14/2018,,
1005A002,Battlefy,,,"83,827","167,374","108,827","118,105",01/15/2018,,
1005A003,Bitium,,,"179,167","210,784","179,167","210,784",02/14/2018,,
1005A004,Club W,,,"25,764","38,747","25,764","38,747",09/14/2018,,
1005A005,Clutter,,,"219,215","6,151,238","219,215","6,151,238",02/14/2018,,
1005A006,DSTLD (Denim.LA),,,"142,862","259,328","142,862","248,955",11/13/2018,,
1005A007,Fama,,,"240,510","1,420,606","240,510","889,583",,,
1005A008,Fanduel (AlphaDraft),,,"352,263","1,523,432","352,263","1,523,432",02/15/2018,,
1005A009,FloQast,,,"152,915","650,651","152,915","650,651",06/15/2018,,
1005A010,Gear Frontier,,,"50,000",0,"50,000","50,000",06/15/2018,,
