Vintage Year,Pooled Return,Arithmetic Mean,Median,Upper Quartile,Lower Quartile,Number of Funds
1993,2.29,2.12,2.07,3.29,1.40,25
1994,2.41,1.69,1.41,1.93,1.04,21
1995,1.92,1.85,1.56,2.30,1.05,34
1996,1.60,1.45,1.35,1.73,1.14,36
1997,1.40,1.37,1.40,1.74,0.92,51
1998,1.46,1.73,1.57,2.08,1.27,55
1999,1.90,1.76,1.54,2.13,1.24,52
2000,1.79,1.71,1.68,2.17,1.34,78
2001,2.11,1.98,1.85,2.19,1.54,32
2002,1.86,1.84,1.94,2.39,1.30,34
2003,1.84,1.61,1.65,1.92,1.12,35
2004,1.60,1.56,1.50,1.78,1.25,68
2005,1.48,1.49,1.38,1.79,1.01,95
2006,1.27,1.35,1.35,1.65,1.02,83
2007,1.18,1.22,1.21,1.66,0.79,98
2008,1.02,1.18,1.07,1.54,0.75,82
2009,1.10,1.12,1.15,1.41,0.63,33
2010,0.86,0.94,0.77,1.06,0.61,34
2011,0.61,0.60,0.53,0.87,0.32,72
2012,0.32,0.45,0.31,0.54,0.15,61
2013,0.18,0.29,0.19,0.37,0.06,75
2014,0.17,0.19,0.12,0.26,0.00,78
2015,0.08,0.09,0.01,0.12,0.00,73
2016,0.02,0.02,0.00,0.00,0.00,55
