Vintage Year,Pooled Return (%),Arithmetic Mean (%),Median (%),Equal-Weighted Pooled Return (%),Upper Quartile (%),Lower Quartile (%),Standard Deviation (%),DPI,RVPI,TVPI,Number of Funds
1993,25.30,18.30,21.74,22.53,33.54,8.73,29.36,2.29,0.00,2.30,25
1994,23.97,13.56,9.68,14.18,23.40,1.02,15.17,2.41,0.00,2.41,21
1995,20.11,15.76,10.88,18.67,30.72,1.06,23.31,1.92,0.00,1.92,34
1996,10.64,9.69,8.27,8.76,12.30,1.77,18.45,1.60,0.00,1.60,36
1997,6.62,6.86,7.17,6.67,13.06,-0.26,15.27,1.40,0.00,1.40,51
1998,7.83,11.31,9.74,12.42,15.92,5.13,10.91,1.46,0.03,1.49,55
1999,15.17,12.28,12.09,12.91,17.78,5.25,13.99,1.90,0.01,1.91,52
2000,15.22,13.18,12.44,13.08,21.45,7.65,11.86,1.79,0.03,1.82,78
2001,22.22,21.84,17.03,21.37,32.62,11.45,17.90,2.11,0.10,2.21,32
2002,18.30,16.69,17.59,17.54,29.37,6.80,25.60,1.86,0.06,1.92,34
2003,15.62,14.23,12.27,13.55,16.82,4.35,13.36,1.84,0.07,1.91,35
2004,10.33,10.80,10.04,10.57,13.63,6.97,9.59,1.60,0.09,1.69,68
2005,8.70,7.55,8.21,9.81,14.29,3.59,14.41,1.48,0.15,1.64,95
2006,8.44,10.79,11.03,10.98,15.20,5.20,13.43,1.27,0.32,1.58,83
2007,12.02,10.97,11.42,11.23,17.24,5.47,11.67,1.18,0.47,1.65,98
2008,11.08,16.04,12.81,14.17,19.07,7.91,20.30,1.02,0.51,1.53,82
2009,20.38,18.11,17.65,18.36,22.63,8.78,16.06,1.10,0.94,2.04,33
2010,14.22,19.15,15.66,19.62,22.40,11.69,16.91,0.86,0.72,1.58,34
2011,15.83,14.62,13.91,14.86,19.06,8.19,10.11,0.61,0.94,1.55,72
2012,15.67,14.01,13.40,14.80,19.15,9.40,10.95,0.32,1.09,1.41,61
2013,11.04,12.90,13.25,14.34,19.91,6.66,13.15,0.18,1.08,1.26,75
2014,19.73,17.81,15.64,17.68,23.56,8.73,16.35,0.17,1.15,1.32,78
2015,15.73,12.28,10.08,15.75,21.39,-4.33,39.68,0.08,1.09,1.17,73
2016,7.18,1.90,0.60,11.42,8.60,-9.97,33.70,0.02,1.03,1.06,55
