Vintage Year,Pooled Return,Arithmetic Mean,Median,Upper Quartile,Lower Quartile,Number of Funds
1993,2.30,2.12,2.07,3.29,1.40,25
1994,2.41,1.69,1.41,1.93,1.04,21
1995,1.92,1.85,1.56,2.30,1.05,34
1996,1.60,1.45,1.35,1.73,1.14,36
1997,1.40,1.38,1.42,1.74,0.94,51
1998,1.49,1.77,1.61,2.10,1.33,55
1999,1.91,1.77,1.54,2.17,1.27,52
2000,1.82,1.81,1.73,2.21,1.34,78
2001,2.21,2.02,1.86,2.21,1.56,32
2002,1.92,1.90,1.97,2.39,1.38,34
2003,1.91,1.70,1.68,1.94,1.23,35
2004,1.69,1.69,1.65,1.87,1.39,68
2005,1.64,1.68,1.62,2.08,1.23,95
2006,1.58,1.70,1.60,1.95,1.30,83
2007,1.65,1.65,1.62,2.03,1.29,98
2008,1.53,1.70,1.63,1.91,1.34,82
2009,2.04,1.86,1.77,2.29,1.40,33
2010,1.58,1.84,1.68,2.04,1.34,34
2011,1.55,1.54,1.46,1.79,1.28,72
2012,1.41,1.41,1.41,1.53,1.26,61
2013,1.26,1.34,1.31,1.46,1.15,75
2014,1.32,1.30,1.23,1.39,1.13,78
2015,1.17,1.13,1.14,1.26,0.97,73
2016,1.06,1.01,1.00,1.07,0.92,55
