Vintage,No of Funds,Median Fund Called (%),Median Fund Dist (%) DPI,Median Fund Value (%) RVPI,Multiple Quartiles (X) Q1,Multiple Quartiles (X) Median,Multiple Quartiles (X) Q3,IRR Quartiles (%) Q1,IRR Quartiles (%) Median,IRR Quartiles (%) Q3,IRR (%) Max,IRR (%) Min
2018,127,14.8,0.0,95.8,1.06,0.97,0.87,n/m,n/m,n/m,n/m,n/m
2017,144,32.3,0.0,100.0,1.16,1.03,0.94,n/m,n/m,n/m,n/m,n/m
2016,175,56.1,3.3,106.0,1.31,1.15,1.05,n/a,n/a,n/a,n/a,n/a
2015,166,70.8,11.0,111.0,1.43,1.27,1.12,24.0,15.8,9.5,89.5,-43.9
2014,152,84.6,20.8,112.2,1.63,1.40,1.26,23.0,16.8,10.9,76.0,-24.6
2013,125,89.7,37.8,108.3,1.80,1.45,1.30,20.6,15.0,9.8,129.0,-12.0
2012,113,93.9,61.5,93.8,1.99,1.64,1.42,24.1,16.5,12.5,283.0,-17.7
2011,124,96.2,74.0,86.1,2.11,1.67,1.40,21.8,14.6,9.7,87.3,-11.7
2010,78,97.0,107.5,63.7,2.18,1.72,1.41,22.9,13.8,9.3,80.3,-9.8
2009,82,96.7,124.1,45.6,2.15,1.78,1.47,22.0,14.6,9.8,60.9,-11.6
2008,149,97.2,124.6,39.5,2.11,1.68,1.47,18.7,12.8,9.2,123.2,-44.6
2007,163,98.2,134.8,21.8,2.03,1.62,1.34,17.1,11.4,7.5,60.0,-66.7
2006,182,97.7,132.7,12.5,1.90,1.51,1.23,12.9,8.3,4.9,60.2,-100.0
2005,165,99.0,139.0,1.5,1.79,1.50,1.22,15.5,8.2,3.9,105.5,-55.5
2004,107,99.8,140.7,0.0,2.04,1.53,1.08,22.8,8.5,2.7,89.2,-86.0
2003,99,99.2,155.7,0.0,2.12,1.61,1.10,24.4,12.6,1.6,239.8,-65.4
2002,99,99.7,149.3,0.0,2.04,1.53,1.01,23.9,12.2,2.9,109.5,-47.2
2001,152,100.0,158.3,0.0,2.11,1.62,1.16,24.3,12.1,5.2,64.4,-26.0
2000,216,99.4,143.1,0.0,1.90,1.45,0.88,19.9,9.0,-0.2,52.9,-40.0
1999,180,100.0,128.4,0.0,1.87,1.30,0.73,15.9,7.5,-3.0,154.7,-43.4
1998,182,100.0,137.7,0.0,1.85,1.38,0.93,15.5,8.0,0.2,514.3,-100.0
1997,156,100.0,154.4,0.0,2.36,1.54,1.13,33.3,12.8,3.2,267.7,-30.0
1996,95,100.0,181.3,0.0,2.49,1.81,1.16,35.8,14.2,6.3,188.4,-33.3
1995,93,100.0,192.8,0.0,2.77,1.93,1.22,35.0,17.6,5.6,447.4,-19.9
1994,97,100.0,197.6,0.0,3.14,1.98,1.41,40.1,22.6,10.6,318.0,-22.6
1993,77,100.0,247.3,0.0,3.51,2.47,1.59,45.9,28.9,13.1,121.4,-29.2
1992,69,100.0,199.6,0.0,2.99,2.00,1.40,37.5,21.0,10.2,107.2,-49.9
1991,31,100.0,244.5,0.0,3.18,2.45,1.80,36.2,25.9,12.7,346.4,-0.5
1990,62,100.0,219.8,0.0,3.15,2.20,1.38,27.8,20.0,8.7,74.4,-35.9
1989,74,100.0,231.3,0.0,3.28,2.32,1.61,30.0,17.4,11.6,198.5,-42.1
1988,51,100.0,219.4,0.0,3.00,2.19,1.58,29.9,14.7,9.9,54.5,-9.3
1987,47,100.0,215.2,0.0,3.38,2.15,1.61,22.1,14.9,7.4,31.3,-12.4
1986,38,100.0,203.2,0.0,2.88,2.03,1.43,18.2,13.8,7.0,279.7,-0.7
1985,37,100.0,195.7,0.0,3.04,1.96,1.49,18.5,13.4,8.4,40.7,4.0
1984,26,100.0,205.2,0.0,3.08,2.05,1.57,14.7,12.6,7.5,96.2,4.0
