Vintage,No of Funds,Median Fund Called (%),Median Fund Dist (%) DPI,Median Fund Value (%) RVPI,Multiple Quartiles (X) Q1,Multiple Quartiles (X) Median,Multiple Quartiles (X) Q3,IRR Quartiles (%) Q1,IRR Quartiles (%) Median,IRR Quartiles (%) Q3,IRR (%) Max,IRR (%) Min
2018,34,21.0,0.0,95.9,1.01,0.96,0.91,n/m,n/m,n/m,n/m,n/m
2017,48,40.0,0.0,102.0,1.33,1.08,0.95,n/m,n/m,n/m,n/m,n/m
2016,39,55.0,0.0,104.3,1.40,1.15,1.02,n/a,n/a,n/a,n/a,n/a
2015,34,83.5,6.4,115.3,1.70,1.24,1.06,21.4,12.6,4.8,89.5,-3.0
2014,30,88.3,4.2,133.5,1.70,1.41,1.13,23.4,15.0,9.5,50.9,-24.6
2013,30,95.2,37.0,123.2,2.11,1.76,1.39,27.6,16.5,11.8,129.0,-10.7
2012,26,96.3,55.7,132.9,3.04,1.87,1.57,35.9,17.9,12.9,107.0,-9.5
2011,28,93.7,49.7,94.0,2.68,1.56,1.03,32.8,15.0,3.2,87.3,-5.4
2010,20,97.4,56.9,84.0,2.50,1.78,1.27,29.2,13.8,8.7,51.6,-9.8
2009,15,100.0,91.7,54.3,2.19,1.58,1.30,19.6,13.0,8.4,60.7,4.2
2008,29,100.0,117.0,63.9,2.55,1.66,1.24,24.2,13.3,5.2,51.8,-44.6
2007,24,100.0,97.2,39.2,1.77,1.44,0.73,12.8,8.0,-2.0,39.7,-66.7
2006,35,99.1,106.7,18.0,2.11,1.39,0.77,11.3,6.3,0.6,45.0,-25.1
2005,32,100.0,108.0,0.0,1.54,1.23,0.87,11.8,4.1,-4.2,104.9,-55.5
2004,32,100.0,72.8,0.0,1.65,1.00,0.57,9.3,0.9,-6.8,86.0,-21.2
2003,30,100.0,83.6,0.0,1.28,0.97,0.40,6.1,0.9,-13.3,35.1,-65.4
2002,38,100.0,103.2,0.0,1.57,1.06,0.66,13.7,3.9,-5.5,109.5,-47.2
2001,59,100.0,115.8,0.0,1.54,1.23,0.75,9.3,3.7,-4.1,29.6,-26.0
2000,92,100.0,82.4,0.0,1.20,0.87,0.54,5.4,-1.9,-7.5,52.9,-40.0
1999,68,100.0,76.0,0.0,1.26,0.76,0.39,8.0,-3.1,-13.4,154.7,-43.4
1998,67,100.0,129.5,0.0,1.70,1.30,0.62,17.1,7.9,-8.5,514.3,-71.8
1997,72,100.0,165.6,0.0,3.59,1.66,1.11,79.5,32.2,6.2,267.7,-30.0
1996,40,100.0,163.9,0.0,3.07,1.64,1.11,62.4,11.1,5.9,188.4,-33.3
1995,34,100.0,226.4,0.0,4.43,2.27,1.40,79.0,26.3,6.2,447.4,-10.6
1994,37,100.0,222.6,0.0,5.89,2.23,1.23,59.7,27.1,7.1,124.6,-19.4
1993,39,100.0,247.4,0.0,3.55,2.47,1.09,55.9,34.1,3.2,121.4,-29.2
1992,31,100.0,167.5,0.0,2.81,1.68,1.15,24.8,12.7,4.4,107.2,-20.1
1991,16,100.0,273.0,0.0,4.00,2.73,1.70,45.7,25.5,12.6,346.4,1.2
1990,30,100.0,190.0,0.0,2.80,1.90,1.16,25.1,19.0,5.1,74.4,-35.9
1989,48,100.0,219.1,0.0,3.10,2.19,1.44,26.0,14.6,7.0,198.5,-42.1
1988,27,100.0,245.7,0.0,3.25,2.46,1.64,32.0,22.4,9.0,54.5,-9.3
1987,30,100.0,200.5,0.0,2.82,2.01,1.33,18.9,13.4,7.0,27.1,-12.4
1986,21,100.0,182.8,0.0,2.35,1.83,1.39,15.5,10.7,5.4,34.4,-0.7
1985,31,100.0,185.5,0.0,3.09,1.86,1.50,18.0,13.0,8.7,40.7,4.0
