Date,Value
2019-08-31,2883.98
2019-07-31,2996.11
2019-06-30,2890.17
2019-05-31,2752.08
2019-04-30,2903.8
2019-03-31,2803.98
2019-02-28,2754.86
2019-01-31,2607.39
2018-12-31,2567.31
2018-11-30,2723.23
2018-10-31,2785.46
2018-09-30,2901.5
2018-08-31,2857.82
2018-07-31,2793.64
2018-06-30,2754.35
2018-05-31,2701.49
2018-04-30,2653.63
2018-03-31,2702.77
2018-02-28,2705.16
2018-01-31,2789.8
2017-12-31,2664.34
2017-11-30,2593.61
2017-10-31,2557.0
2017-09-30,2492.84
2017-08-31,2456.22
2017-07-31,2454.1
2017-06-30,2433.99
2017-05-31,2395.35
2017-04-30,2359.31
2017-03-31,2366.82
2017-02-28,2329.91
2017-01-31,2275.12
2016-12-31,2246.63
2016-11-30,2164.99
2016-10-31,2143.02
2016-09-30,2157.69
2016-08-31,2170.95
2016-07-31,2148.9
2016-06-30,2083.89
2016-05-31,2065.55
2016-04-30,2075.54
2016-03-31,2021.95
2016-02-29,1904.42
2016-01-31,1918.6
2015-12-31,2054.08
2015-11-30,2080.62
2015-10-31,2024.81
2015-09-30,1944.41
2015-08-31,2039.87
2015-07-31,2094.14
2015-06-30,2099.29
2015-05-31,2111.94
2015-04-30,2094.86
2015-03-31,2079.99
2015-02-28,2082.2
2015-01-31,2028.18
2014-12-31,2054.27
2014-11-30,2044.57
2014-10-31,1937.27
2014-09-30,1993.23
2014-08-31,1961.53
2014-07-31,1973.1
2014-06-30,1947.09
2014-05-31,1889.77
2014-04-30,1864.26
2014-03-31,1863.52
2014-02-28,1817.04
2014-01-31,1822.36
2013-12-31,1807.78
2013-11-30,1783.54
2013-10-31,1720.03
2013-09-30,1687.17
2013-08-31,1670.09
2013-07-31,1668.68
2013-06-30,1618.77
2013-05-31,1639.84
2013-04-30,1570.7
2013-03-31,1550.83
2013-02-28,1512.31
2013-01-31,1480.4
2012-12-31,1422.29
2012-11-30,1394.51
2012-10-31,1437.82
2012-09-30,1443.42
2012-08-31,1403.45
2012-07-31,1359.78
2012-06-30,1323.48
2012-05-31,1341.27
2012-04-30,1386.43
2012-03-31,1389.24
2012-02-29,1352.49
2012-01-31,1300.58
2011-12-31,1243.32
2011-11-30,1226.42
2011-10-31,1207.22
2011-09-30,1173.88
2011-08-31,1185.31
2011-07-31,1325.19
2011-06-30,1287.29
2011-05-31,1338.31
2011-04-30,1331.51
2011-03-31,1304.49
2011-02-28,1321.12
2011-01-31,1282.62
2010-12-31,1241.53
2010-11-30,1198.89
2010-10-31,1171.58
2010-09-30,1122.08
2010-08-31,1087.28
2010-07-31,1079.8
2010-06-30,1083.36
2010-05-31,1125.06
2010-04-30,1197.32
2010-03-31,1152.05
2010-02-28,1089.16
2010-01-31,1123.58
2009-12-31,1110.38
2009-11-30,1088.07
2009-10-31,1067.66
2009-09-30,1044.55
2009-08-31,1009.73
2009-07-31,935.82
2009-06-30,926.12
2009-05-31,902.41
2009-04-30,848.15
2009-03-31,757.13
2009-02-28,805.23
2009-01-31,865.58
2008-12-31,877.56
2008-11-30,883.04
2008-10-31,968.8
2008-09-30,1216.95
2008-08-31,1281.47
2008-07-31,1257.33
2008-06-30,1341.25
2008-05-31,1403.22
2008-04-30,1370.47
2008-03-31,1316.94
2008-02-29,1354.87
2008-01-31,1378.76
2007-12-31,1479.22
2007-11-30,1463.39
2007-10-31,1539.66
2007-09-30,1497.12
2007-08-31,1454.62
2007-07-31,1520.71
2007-06-30,1514.19
2007-05-31,1511.14
2007-04-30,1463.64
2007-03-31,1406.95
2007-02-28,1444.8
2007-01-31,1424.16
2006-12-31,1416.42
2006-11-30,1388.64
2006-10-31,1363.38
2006-09-30,1317.74
2006-08-31,1287.15
2006-07-31,1260.24
2006-06-30,1253.17
2006-05-31,1290.01
2006-04-30,1302.17
2006-03-31,1293.74
2006-02-28,1276.65
2006-01-31,1278.73
2005-12-31,1262.07
2005-11-30,1237.37
2005-10-31,1191.96
2005-09-30,1225.92
2005-08-31,1224.27
2005-07-31,1222.24
2005-06-30,1202.25
2005-05-31,1178.28
2005-04-30,1164.43
2005-03-31,1194.9
2005-02-28,1199.63
2005-01-31,1181.41
2004-12-31,1199.21
2004-11-30,1168.94
2004-10-31,1117.21
2004-09-30,1117.66
2004-08-31,1088.94
2004-07-31,1105.85
2004-06-30,1132.76
2004-05-31,1102.78
2004-04-30,1133.36
2004-03-31,1123.98
2004-02-29,1143.36
2004-01-31,1132.52
2003-12-31,1080.64
2003-11-30,1049.9
2003-10-31,1038.73
2003-09-30,1019.44
2003-08-31,989.53
2003-07-31,992.54
2003-06-30,988.0
2003-05-31,935.96
2003-04-30,890.03
2003-03-31,846.63
2003-02-28,837.03
2003-01-31,895.84
2002-12-31,899.18
2002-11-30,909.93
2002-10-31,854.63
2002-09-30,867.81
2002-08-31,912.55
2002-07-31,903.59
2002-06-30,1014.02
2002-05-31,1079.25
2002-04-30,1111.93
2002-03-31,1153.79
2002-02-28,1100.67
2002-01-31,1140.21
2001-12-31,1144.93
2001-11-30,1129.68
2001-10-31,1076.59
2001-09-30,1044.64
2001-08-31,1178.5
2001-07-31,1204.45
2001-06-30,1238.71
2001-05-31,1270.37
2001-04-30,1189.84
2001-03-31,1185.85
2001-02-28,1305.75
2001-01-31,1335.63
2000-12-31,1330.93
2000-11-30,1378.04
2000-10-31,1390.14
2000-09-30,1468.05
2000-08-31,1485.46
2000-07-31,1473.0
2000-06-30,1461.96
2000-05-31,1418.48
2000-04-30,1461.36
2000-03-31,1442.21
2000-02-29,1388.87
2000-01-31,1425.59
