Date,Value
2019-08-31,1.94
2019-07-31,1.87
2019-06-30,1.94
2019-05-31,1.95
2019-04-30,1.9
2019-03-31,1.96
2019-02-28,1.98
2019-01-31,2.08
2018-12-31,2.09
2018-11-30,1.96
2018-10-31,1.9
2018-09-30,1.8
2018-08-31,1.82
2018-07-31,1.84
2018-06-30,1.85
2018-05-31,1.88
2018-04-30,1.9
2018-03-31,1.85
2018-02-28,1.84
2018-01-31,1.77
2017-12-31,1.84
2017-11-30,1.88
2017-10-31,1.89
2017-09-30,1.93
2017-08-31,1.95
2017-07-31,1.94
2017-06-30,1.94
2017-05-31,1.96
2017-04-30,1.98
2017-03-31,1.96
2017-02-28,1.98
2017-01-31,2.02
2016-12-31,2.03
2016-11-30,2.1
2016-10-31,2.11
2016-09-30,2.09
2016-08-31,2.07
2016-07-31,2.08
2016-06-30,2.13
2016-05-31,2.14
2016-04-30,2.12
2016-03-31,2.17
2016-02-29,2.3
2016-01-31,2.27
2015-12-31,2.11
2015-11-30,2.07
2015-10-31,2.11
2015-09-30,2.19
2015-08-31,2.07
2015-07-31,2.01
2015-06-30,1.99
2015-05-31,1.96
2015-04-30,1.96
2015-03-31,1.96
2015-02-28,1.94
2015-01-31,1.97
2014-12-31,1.92
2014-11-30,1.91
2014-10-31,2.0
2014-09-30,1.93
2014-08-31,1.94
2014-07-31,1.91
2014-06-30,1.92
2014-05-31,1.96
2014-04-30,1.96
2014-03-31,1.94
2014-02-28,1.97
2014-01-31,1.94
2013-12-31,1.94
2013-11-30,1.95
2013-10-31,2.01
2013-09-30,2.04
2013-08-31,2.04
2013-07-31,2.02
2013-06-30,2.06
2013-05-31,2.01
2013-04-30,2.07
2013-03-31,2.07
2013-02-28,2.1
2013-01-31,2.13
2012-12-31,2.2
2012-11-30,2.2
2012-10-31,2.1
2012-09-30,2.05
2012-08-31,2.08
2012-07-31,2.11
2012-06-30,2.14
2012-05-31,2.09
2012-04-30,2.0
2012-03-31,1.97
2012-02-29,2.0
2012-01-31,2.06
2011-12-31,2.13
2011-11-30,2.12
2011-10-31,2.12
2011-09-30,2.15
2011-08-31,2.1
2011-07-31,1.86
2011-06-30,1.89
2011-05-31,1.8
2011-04-30,1.78
2011-03-31,1.8
2011-02-28,1.76
2011-01-31,1.79
2010-12-31,1.83
2010-11-30,1.89
2010-10-31,1.92
2010-09-30,1.99
2010-08-31,2.05
2010-07-31,2.05
2010-06-30,2.03
2010-05-31,1.95
2010-04-30,1.83
2010-03-31,1.9
2010-02-28,2.03
2010-01-31,1.98
2009-12-31,2.02
2009-11-30,2.1
2009-10-31,2.19
2009-09-30,2.29
2009-08-31,2.42
2009-07-31,2.67
2009-06-30,2.76
2009-05-31,2.9
2009-04-30,3.15
2009-03-31,3.6
2009-02-28,3.43
2009-01-31,3.24
2008-12-31,3.23
2008-11-30,3.23
2008-10-31,2.96
2008-09-30,2.37
2008-08-31,2.25
2008-07-31,2.29
2008-06-30,2.14
2008-05-31,2.04
2008-04-30,2.08
2008-03-31,2.15
2008-02-29,2.07
2008-01-31,2.03
2007-12-31,1.87
2007-11-30,1.88
2007-10-31,1.77
2007-09-30,1.8
2007-08-31,1.84
2007-07-31,1.74
2007-06-30,1.73
2007-05-31,1.72
2007-04-30,1.76
2007-03-31,1.81
2007-02-28,1.75
2007-01-31,1.76
2006-12-31,1.76
2006-11-30,1.77
2006-10-31,1.79
2006-09-30,1.83
2006-08-31,1.85
2006-07-31,1.88
2006-06-30,1.87
2006-05-31,1.8
2006-04-30,1.77
2006-03-31,1.76
2006-02-28,1.77
2006-01-31,1.75
2005-12-31,1.76
2005-11-30,1.78
2005-10-31,1.82
2005-09-30,1.75
2005-08-31,1.74
2005-07-31,1.73
2005-06-30,1.74
2005-05-31,1.76
2005-04-30,1.76
2005-03-31,1.69
2005-02-28,1.66
2005-01-31,1.67
2004-12-31,1.62
2004-11-30,1.66
2004-10-31,1.72
2004-09-30,1.71
2004-08-31,1.74
2004-07-31,1.7
2004-06-30,1.64
2004-05-31,1.67
2004-04-30,1.61
2004-03-31,1.6
2004-02-29,1.56
2004-01-31,1.55
2003-12-31,1.61
2003-11-30,1.63
2003-10-31,1.62
2003-09-30,1.63
2003-08-31,1.66
2003-07-31,1.64
2003-06-30,1.64
2003-05-31,1.73
2003-04-30,1.82
2003-03-31,1.92
2003-02-28,1.93
2003-01-31,1.8
2002-12-31,1.79
2002-11-30,1.76
2002-10-31,1.86
2002-09-30,1.82
2002-08-31,1.74
2002-07-31,1.77
2002-06-30,1.58
2002-05-31,1.48
2002-04-30,1.42
2002-03-31,1.36
2002-02-28,1.43
2002-01-31,1.38
2001-12-31,1.37
2001-11-30,1.39
2001-10-31,1.46
2001-09-30,1.51
2001-08-31,1.33
2001-07-31,1.3
2001-06-30,1.27
2001-05-31,1.24
2001-04-30,1.33
2001-03-31,1.35
2001-02-28,1.23
2001-01-31,1.21
2000-12-31,1.22
2000-11-30,1.18
2000-10-31,1.17
2000-09-30,1.11
2000-08-31,1.11
2000-07-31,1.13
2000-06-30,1.14
2000-05-31,1.18
2000-04-30,1.15
2000-03-31,1.16
2000-02-29,1.21
2000-01-31,1.17
