AEBODSYS,AEHLGT,AEHLT,AEDECOD,A,C,B,D,APLUSB,CPLUSD,N,PCTTREAT,PCTCONTROL,RD,RR,PVALUE
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS DUE TO CHRONIC DISORDERS","ANAEMIA OF CHRONIC DISEASE",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS DUE TO CHRONIC DISORDERS",,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC","ANAEMIA",2,6,271,267,273,273,546,0.7,2.2,-1.5,0.3,2.2
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION","ANAEMIAS NEC",,2,6,271,267,273,273,546,0.7,2.2,-1.5,0.3,2.2
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION",,,2,7,271,266,273,273,546,0.7,2.6,-1.8,0.3,2.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)","COAGULOPATHIES","COAGULOPATHY",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)","COAGULOPATHIES",,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","COAGULOPATHIES AND BLEEDING DIATHESES (EXCL THROMBOCYTOPENIC)",,,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","WHITE BLOOD CELL DISORDERS","LEUKOCYTOSES NEC","LEUKOCYTOSIS",1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","WHITE BLOOD CELL DISORDERS","LEUKOCYTOSES NEC",,1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS","WHITE BLOOD CELL DISORDERS",,,1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"BLOOD AND LYMPHATIC SYSTEM DISORDERS",,,,3,8,270,265,273,273,546,1.1,2.9,-1.8,0.4,2.5
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR BLOCK COMPLETE",1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR BLOCK FIRST DEGREE",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS",,1,1,272,272,273,273,546,0.4,0.4,0,1,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","BRADYCARDIA",1,1,272,272,273,273,546,0.4,0.4,0,1,0.7
